Gol,Gol Beklentisi (xG),Toplam Şut,İsabetli Şut,Pozisyonu Gole Çevirme %,Başarılı Top Sürme,Başarılı Top Sürme %,Yaratılan Büyük Şans,Kilit Pas,Rakip Gol Bölgesinde İsabetli Pas,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.18,0.15,1.6,0.89,11.11,1.24,46.67,0.36,0.89,5.33,4.44,2.31,42.7,2.13,Djakaridja Traore,djakaridja-traore,,İstanbulspor
0.17,0.21,1.82,0.5,9.09,0.83,65.22,0.17,0.66,4.46,3.74,1.54,41.03,1.6,Martin Minchev,minchev-martin,,Çaykur Rizespor
0.16,0.16,1.63,0.62,9.52,0.78,45.45,0.08,0.78,6.2,4.88,0.31,50.0,1.71,Taxiarchis Fountas,taxiarchis-fountas,,Trabzonspor
0.15,0.31,2.6,0.77,5.88,0.77,50.0,0.15,0.69,5.51,1.91,2.37,37.33,0.77,Kevin Lasagna,kevin-lasagna,Fatih Karagümrük,
0.14,0.14,1.63,0.92,8.7,1.77,44.64,0.07,1.27,6.58,3.11,0.35,31.82,0.42,Clinton N'Jie,clinton-njie,Sivasspor,
0.14,0.31,2.88,0.82,4.76,1.78,56.52,0.0,0.55,3.84,4.66,1.23,42.16,2.47,Britt Assombalonga,britt-assombalonga,Antalyaspor,
0.14,0.21,1.64,0.68,8.33,1.23,48.65,0.21,1.16,3.49,2.12,0.82,30.94,0.48,Julien Ngoy,julien-ngoy,Kasımpaşa,
0.13,0.28,1.73,0.53,7.69,1.86,56.0,0.0,0.67,3.73,5.06,4.13,46.94,2.26,Philippe Keny,philippe-keny,Başakşehir FK,
0.11,0.22,1.45,0.48,7.41,0.75,48.28,0.16,0.81,6.18,3.97,1.24,38.19,1.56,Mendy Mamadou,mendy-mamadou,İstanbulspor,
0.04,0.19,2.04,0.81,2.08,1.83,47.25,0.21,1.15,9.53,4.98,0.68,41.69,1.66,Jackson,jackson,İstanbulspor,
0.0,0.29,3.33,1.05,0.0,2.66,58.33,0.1,1.71,7.52,6.28,2.28,46.15,1.52,Halil Dervişoğlu,halil-dervisoglu,Hatayspor,
0.0,0.1,1.24,0.27,0.0,3.55,47.62,0.53,2.13,10.46,6.12,0.09,46.36,1.24,Moryke Fofana,moryke-fofana,Yılport Samsunspor,
0.0,0.06,1.6,0.46,0.0,1.37,40.0,1.14,4.57,12.34,3.65,1.14,30.43,1.6,Ante Rebić,ante-rebic,Beşiktaş,
0.0,0.1,2.09,0.57,0.0,1.08,38.64,0.25,1.71,6.45,4.81,0.19,47.59,2.72,Joelson Fernandes,joelson-fernandes,Hatayspor,
0.0,0.12,1.37,0.46,0.0,0.91,44.44,0.46,1.14,4.78,4.56,0.68,48.94,0.68,Benito Raman,benito-raman,Yılport Samsunspor,
0.0,0.2,1.36,0.54,0.0,0.54,66.67,0.0,0.54,3.8,4.07,5.42,46.05,2.98,Bouly Junior Sambou,sambou-bouly-junior,Konyaspor,
0.0,0.03,0.76,0.38,0.0,0.38,25.0,0.0,0.76,14.87,4.19,1.14,41.18,2.29,Ozcan Sahan,sahan-ozcan,İstanbulspor,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.5,4.5,2.25,3.0,26.92,2.25,Talha Sariarslan,talha-sariarslan,Kayserispor,
0.0,0.18,1.71,0.57,0.0,0.95,55.56,0.19,0.57,7.23,4.38,1.71,35.96,3.42,Nélson Oliveira,nelson-oliveira,Konyaspor,
0.0,0.75,3.43,1.32,0.0,0.0,0.0,0.0,1.06,4.75,2.9,2.38,46.51,2.64,Gorkem Bitin,gorkem-bitin,Pendikspor,
0.0,0.23,2.87,0.36,0.0,0.72,22.22,0.0,0.36,4.66,1.79,2.87,27.08,0.36,Anderson Silva,anderson-silva,Alanyaspor,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61,3.13,0.0,23.53,1.57,Emre Gökay,emre-gokay,Sivasspor,
